round_epochs,loss,val_loss,first_layer,second_layer,third_layer,activation,epochs,batch_size,dropout
84,0.014765084721148014,0.012999244965612888,64,64,64,relu,500,256,0.15
50,0.005841696169227362,0.0050806947983801365,64,32,64,elu,50,256,0.01
200,0.0044984593987464905,0.004513103980571032,48,48,64,relu,200,128,0
31,0.017749739810824394,0.01601179875433445,32,32,64,relu,100,512,0.1
200,0.003968167584389448,0.003961438778787851,48,48,48,elu,200,512,0
67,0.015749352052807808,0.012196381576359272,32,32,32,elu,500,512,0.15
97,0.011257150210440159,0.00797710195183754,48,48,32,elu,100,256,0.1
176,0.005154432728886604,0.004472846165299416,32,48,48,elu,500,256,0.01
100,0.0050676129758358,0.004492535255849361,32,64,48,elu,200,128,0.01
50,0.004883970133960247,0.004145135171711445,48,48,48,elu,50,128,0.01
155,0.009058193303644657,0.007938239723443985,64,32,32,relu,500,256,0.01
100,0.01077025942504406,0.0071228728629648685,32,48,64,elu,100,512,0.1
350,0.007784184068441391,0.006513311993330717,48,48,32,relu,500,512,0.01
95,0.009504428133368492,0.00638410821557045,64,64,48,elu,200,128,0.1
100,0.011658196337521076,0.010596957057714462,64,64,64,relu,100,64,0.1
50,0.005583207588642836,0.00554992537945509,64,32,64,elu,50,512,0
50,0.01448480412364006,0.012568638660013676,64,64,48,relu,50,512,0.1
50,0.013439260423183441,0.01000501960515976,32,32,32,elu,50,256,0.1
100,0.004692021291702986,0.004699883051216602,64,64,48,relu,100,128,0
151,0.010486850515007973,0.007106894627213478,48,48,48,elu,200,512,0.1
104,0.011835590936243534,0.008698287419974804,64,32,32,elu,500,128,0.1
100,0.005954928230494261,0.0059182653203606606,64,32,32,elu,100,512,0
16,0.017672469839453697,0.01592479646205902,48,32,48,relu,200,128,0.1
143,0.005381976719945669,0.0046479846350848675,48,32,64,elu,200,256,0.01
24,0.0178849957883358,0.01610507071018219,32,32,48,relu,200,256,0.1
50,0.01762630045413971,0.015737704932689667,64,48,48,relu,50,512,0.15
55,0.017855707556009293,0.015794290229678154,64,32,64,relu,200,128,0.15
50,0.015490655787289143,0.013678689487278461,48,32,64,relu,50,64,0.1
69,0.015383942052721977,0.01408569049090147,48,64,48,relu,100,512,0.1
100,0.005776484962552786,0.005762180779129267,64,32,48,relu,100,64,0
15,0.018108677119016647,0.016718273982405663,32,48,64,relu,100,64,0.15
138,0.00510674063116312,0.004486672580242157,48,64,32,elu,200,256,0.01
82,0.014936994761228561,0.012831763364374638,64,64,64,relu,200,512,0.15
15,0.01726672239601612,0.016229908913373947,32,48,64,relu,200,128,0.1
